date,equity_curve,benchmark
01/06/2011,367.4905402,111.7983181
01/07/2011,362.5750538,109.3975134
01/08/2011,365.3987777,103.1847075
01/09/2011,394.6441592,95.77996773
01/10/2011,386.5768465,106.0976769
01/11/2011,428.6827491,105.560959
01/12/2011,427.7333206,106.4616857
01/01/2012,433.107587,111.101612
01/02/2012,456.9465391,115.6111669
01/03/2012,444.4777156,119.2335323
01/04/2012,446.6351873,118.3395845
01/05/2012,479.9259429,110.9255237
01/06/2012,468.384341,115.3131808
01/07/2012,479.7814988,116.7658472
01/08/2012,498.6863093,119.0735338
01/09/2012,504.8232317,121.9594182
01/10/2012,517.4472163,119.5459133
01/11/2012,539.4322176,119.8862267
01/12/2012,543.3871037,120.7336102
01/01/2013,559.6481265,126.8219763
01/02/2013,559.1880415,128.2247097
01/03/2013,556.3589746,132.8392251
01/04/2013,546.6731151,135.2417245
01/05/2013,545.4992149,138.049723
01/06/2013,554.2019659,135.9790735
01/07/2013,555.1642107,142.7048813
01/08/2013,568.7584384,138.2385012
01/09/2013,567.6964277,142.3510307
01/10/2013,567.4190771,148.6992821
01/11/2013,574.7413955,152.8702184
01/12/2013,577.169626,156.4722674
01/01/2014,591.4165329,150.9045295
01/02/2014,621.5253191,157.4110846
01/03/2014,621.7835526,158.5022843
01/04/2014,616.0416445,159.4851236
01/05/2014,632.0656796,162.8391404
01/06/2014,647.4420158,165.9425827
01/07/2014,651.6622393,163.4401967
01/08/2014,652.3337221,169.5945856
01/09/2014,660.1248197,166.9635228
01/10/2014,672.4096086,170.8373204
01/11/2014,682.8159653,175.028573
01/12/2014,669.1731124,174.2954504
01/01/2015,689.0450184,168.8851792
01/02/2015,704.2333778,178.1557107
01/03/2015,686.6994864,175.056495
01/04/2015,695.4177483,176.5481198
01/05/2015,690.0504371,178.4003536
01/06/2015,709.4526261,174.6518638
01/07/2015,726.4136722,178.0998461
01/08/2015,677.3789604,166.954212
01/09/2015,673.8247898,162.5394699
01/10/2015,688.3306384,176.0275019
01/11/2015,708.4735116,176.1163728
01/12/2015,688.4396424,173.0290202
01/01/2016,724.8992678,164.2503371
01/02/2016,729.3224171,163.5722525
01/03/2016,751.3307231,174.3665678
01/04/2016,753.0413731,174.8372526
01/05/2016,762.4969187,177.516564
01/06/2016,766.2962988,177.6782676
01/07/2016,777.796161,184.0053554
01/08/2016,784.3796762,183.7810081
01/09/2016,764.215969,183.5541395
01/10/2016,785.3071463,179.9884756
01/11/2016,806.6876133,186.1394958
01/12/2016,821.6377042,189.5273765
01/01/2017,820.4137851,192.916952
01/02/2017,824.4604512,200.0931077
01/03/2017,845.8243199,200.015232
01/04/2017,856.5938449,201.8336122
01/05/2017,871.6092829,204.1700888
01/06/2017,871.8902661,205.1529177
01/07/2017,872.8884458,209.1223858
01/08/2017,868.031784,209.2366572
01/09/2017,875.6511767,213.2755479
01/10/2017,869.417297,218.0077346
01/11/2017,871.2430733,218.8187327
01/12/2017,869.2392142,226.3335276
01/01/2018,851.8544299,239.048652
01/02/2018,869.948755,229.7383352
01/03/2018,864.7000642,223.5619352
01/04/2018,851.8160332,224.1697499
01/05/2018,840.2029413,229.0136865
01/06/2018,833.0360102,230.1226706
01/07/2018,833.0360102,238.4120473
01/08/2018,833.0360102,245.6271615
01/09/2018,836.6323938,246.6819551
01/10/2018,836.6323938,229.5613995
01/11/2018,836.6323938,233.6612185
